,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,7,0,0,0,1,0,18,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,2,24,0,0,0,0,0,0,3,0,0
Common Chickweed,0,0,0,57,0,0,1,0,2,1,0,0
Common wheat,2,0,0,0,19,0,0,0,1,0,0,0
Fat Hen,0,3,0,3,2,33,0,0,1,0,0,6
Loose Silky-bent,1,0,0,0,0,0,64,0,0,0,0,0
Maize,0,2,0,0,0,0,0,19,0,0,0,1
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,4,19,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,1,0,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,0,0,0,38
