,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,28,7,0,0,0,0,0,0,0,4,0
Cleavers,0,12,17,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,43,0,0,2,10,2,0,4,0
Common wheat,0,0,3,2,1,1,13,0,0,0,1,1
Fat Hen,0,1,5,15,0,2,9,1,1,0,12,2
Loose Silky-bent,0,0,0,2,0,0,62,0,0,0,1,0
Maize,0,1,0,3,0,0,0,10,0,0,8,0
Scentless Mayweed,0,4,0,14,0,1,4,1,2,0,26,0
Shepherds Purse,0,1,0,4,0,0,0,1,0,0,17,0
Small-flowered Cranesbill,0,3,0,2,0,0,0,1,1,0,43,0
Sugar beet,0,0,0,11,0,4,2,0,10,0,10,1
