,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,2,0,0,24,0,0,0,0,0
Charlock,0,5,2,1,0,0,0,21,5,5,0,0
Cleavers,0,1,1,0,0,2,0,8,16,1,0,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,0,0,0,0,1,5,10,4,2,0,0,0
Fat Hen,0,0,0,21,0,16,1,4,4,0,2,0
Loose Silky-bent,0,0,0,1,0,7,57,0,0,0,0,0
Maize,0,0,0,4,0,0,0,18,0,0,0,0
Scentless Mayweed,0,0,1,10,0,5,2,20,12,2,0,0
Shepherds Purse,0,0,0,10,0,0,0,10,3,0,0,0
Small-flowered Cranesbill,0,0,0,27,0,0,0,22,0,1,0,0
Sugar beet,0,0,0,16,0,6,0,1,4,0,0,11
