,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,1,0,0,1,3,4,0,2,0,0,1
Charlock,0,33,2,2,0,0,0,0,2,0,0,0
Cleavers,0,1,23,1,0,2,0,0,2,0,0,0
Common Chickweed,0,0,0,51,0,1,0,0,5,0,4,0
Common wheat,3,0,0,0,4,3,2,1,8,0,0,1
Fat Hen,0,3,0,14,0,20,0,0,4,1,1,5
Loose Silky-bent,8,0,0,1,1,3,39,1,8,0,4,0
Maize,0,3,0,3,0,0,0,7,5,0,0,4
Scentless Mayweed,5,0,0,27,0,0,4,0,14,0,0,2
Shepherds Purse,0,1,0,14,0,0,0,0,4,2,2,0
Small-flowered Cranesbill,0,1,0,2,0,0,0,0,1,1,45,0
Sugar beet,0,0,0,1,0,1,0,0,1,0,0,35
