,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,7,0,0,0,0,0,19,0,0,0,0,0
Charlock,0,38,0,0,0,0,0,0,1,0,0,0
Cleavers,0,3,23,0,0,0,0,1,0,1,1,0
Common Chickweed,0,0,0,54,0,0,1,1,4,1,0,0
Common wheat,0,0,0,0,15,0,0,7,0,0,0,0
Fat Hen,0,0,0,1,0,44,0,3,0,0,0,0
Loose Silky-bent,0,0,0,0,0,0,64,1,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,1,0,0,0,1,5,16,0,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,1,0,0,48,0
Sugar beet,0,0,0,0,0,0,0,9,0,0,0,29
