class,precision,recall,f1-score,support
abies_concolor,1.0,1.0,1.0,38.0
acer_negundo,0.9722222222222222,1.0,0.9859154929577464,35.0
acer_palmatum,1.0,1.0,1.0,32.0
acer_rubrum,1.0,0.9333333333333333,0.9655172413793104,45.0
acer_saccharinum,1.0,1.0,1.0,29.0
acer_saccharum,0.9032258064516129,1.0,0.9491525423728813,28.0
aesculus_pavi,1.0,1.0,1.0,34.0
asimina_triloba,0.9444444444444444,0.8947368421052632,0.918918918918919,38.0
broussonettia_papyrifera,1.0,0.9555555555555556,0.9772727272727273,45.0
carpinus_caroliniana,0.8636363636363636,0.7037037037037037,0.7755102040816326,27.0
carya_cordiformis,0.7317073170731707,1.0,0.8450704225352113,30.0
carya_glabra,0.8636363636363636,0.7037037037037037,0.7755102040816326,27.0
catalpa_bignonioides,0.9354838709677419,0.8787878787878788,0.90625,33.0
catalpa_speciosa,0.84375,0.9310344827586207,0.8852459016393444,29.0
cercis_canadensis,0.9705882352941176,1.0,0.9850746268656716,33.0
chionanthus_virginicus,0.8205128205128205,0.9696969696969697,0.8888888888888888,33.0
cornus_florida,0.9,1.0,0.9473684210526316,27.0
cryptomeria_japonica,1.0,1.0,1.0,32.0
diospyros_virginiana,0.9696969696969697,0.8421052631578947,0.9014084507042254,38.0
eucommia_ulmoides,0.875,0.9655172413793104,0.9180327868852458,29.0
fraxinus_nigra,0.896551724137931,0.8387096774193549,0.8666666666666666,31.0
gleditsia_triacanthos,1.0,1.0,1.0,30.0
ilex_opaca,1.0,0.972972972972973,0.9863013698630138,37.0
juglans_cinerea,0.875,0.8484848484848485,0.8615384615384615,33.0
koelreuteria_paniculata,1.0,1.0,1.0,30.0
liriodendron_tulipifera,1.0,1.0,1.0,36.0
maclura_pomifera,0.96875,0.9117647058823529,0.9393939393939394,68.0
magnolia_denudata,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
magnolia_virginiana,0.9230769230769231,0.8888888888888888,0.9056603773584906,27.0
ostrya_virginiana,0.7777777777777778,0.875,0.823529411764706,32.0
pinus_bungeana,1.0,0.25925925925925924,0.4117647058823529,27.0
pinus_cembra,0.5625,1.0,0.72,27.0
platanus_occidentalis,0.9354838709677419,1.0,0.9666666666666666,29.0
prunus_sargentii,0.7358490566037735,0.8863636363636364,0.8041237113402062,44.0
prunus_virginiana,0.9487179487179487,0.8043478260869565,0.8705882352941177,46.0
ptelea_trifoliata,0.9736842105263158,0.9024390243902439,0.9367088607594938,41.0
quercus_alba,0.9642857142857143,1.0,0.9818181818181818,27.0
quercus_marilandica,1.0,1.0,1.0,27.0
quercus_montana,1.0,0.9473684210526315,0.972972972972973,38.0
quercus_muehlenbergii,0.84375,0.7941176470588235,0.8181818181818182,34.0
salix_nigra,0.9375,1.0,0.967741935483871,30.0
staphylea_trifolia,1.0,1.0,1.0,32.0
styrax_japonica,0.9696969696969697,0.9142857142857143,0.9411764705882354,35.0
taxodium_distichum,1.0,1.0,1.0,27.0
tilia_cordata,1.0,0.9666666666666667,0.983050847457627,30.0
tsuga_canadensis,1.0,1.0,1.0,29.0
ulmus_americana,0.7441860465116279,0.9696969696969697,0.8421052631578948,33.0
ulmus_pumila,0.9259259259259259,0.625,0.7462686567164178,40.0
ulmus_rubra,0.9069767441860465,0.8125,0.8571428571428572,48.0
zelkova_serrata,0.7222222222222222,0.9285714285714286,0.8125000000000001,28.0
accuracy,0.91513353115727,0.91513353115727,0.91513353115727,0.91513353115727
macro avg,0.9226353094899734,0.9170107717437781,0.9113392833121996,1685.0
weighted avg,0.9261216847771977,0.91513353115727,0.9131928875453322,1685.0
