class,precision,recall,f1-score,support
Black-grass,0.8695652173913043,0.7692307692307693,0.8163265306122449,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,1.0,0.9836065573770492,0.9917355371900827,61.0
Common wheat,1.0,1.0,1.0,22.0
Fat Hen,1.0,0.9791666666666666,0.9894736842105264,48.0
Loose Silky-bent,0.9117647058823529,0.9538461538461539,0.9323308270676691,65.0
Maize,1.0,1.0,1.0,22.0
Scentless Mayweed,1.0,1.0,1.0,52.0
Shepherds Purse,1.0,1.0,1.0,23.0
Small-flowered Cranesbill,1.0,1.0,1.0,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9768421052631578,0.9768421052631578,0.9768421052631578,0.9768421052631578
macro avg,0.9776108269394713,0.9738208455933867,0.9753521294532915,475.0
weighted avg,0.9767861084937407,0.9768421052631578,0.9765099772455963,475.0
