class,precision,recall,f1-score,support
Black-grass,0.6666666666666666,0.38461538461538464,0.4878048780487804,26.0
Charlock,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
Cleavers,1.0,0.9310344827586207,0.9642857142857143,29.0
Common Chickweed,0.9672131147540983,0.9672131147540983,0.9672131147540983,61.0
Common wheat,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
Fat Hen,1.0,0.9166666666666666,0.9565217391304348,48.0
Loose Silky-bent,0.7792207792207793,0.9230769230769231,0.8450704225352113,65.0
Maize,1.0,1.0,1.0,22.0
Scentless Mayweed,0.8360655737704918,0.9807692307692307,0.9026548672566372,52.0
Shepherds Purse,0.9473684210526315,0.782608695652174,0.8571428571428571,23.0
Small-flowered Cranesbill,0.98,0.98,0.98,50.0
Sugar beet,0.9487179487179487,0.9736842105263158,0.9610389610389611,38.0
accuracy,0.9136842105263158,0.9136842105263158,0.9136842105263158,0.9136842105263158
macro avg,0.9170311152752914,0.8898053372345628,0.8983177048986857,475.0
weighted avg,0.9141128662294822,0.9136842105263158,0.9096916069112237,475.0
