class,precision,recall,f1-score,support
Black-grass,0.8333333333333334,0.7692307692307693,0.8,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,1.0,0.8636363636363636,0.9268292682926829,22.0
Fat Hen,1.0,0.9583333333333334,0.9787234042553191,48.0
Loose Silky-bent,0.8840579710144928,0.9384615384615385,0.9104477611940298,65.0
Maize,0.9166666666666666,1.0,0.9565217391304348,22.0
Scentless Mayweed,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Shepherds Purse,1.0,1.0,1.0,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9621052631578947,0.9621052631578947,0.9621052631578947,0.9621052631578947
macro avg,0.9623694799300643,0.956169816067357,0.9584296604397258,475.0
weighted avg,0.9629412662090009,0.9621052631578947,0.961920295927929,475.0
