true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,13,0,0,0,1,0,12,0,0,0,0,0
Charlock,0,38,0,0,0,0,0,0,0,0,1,0
Cleavers,0,2,27,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,0,59,0,0,1,0,0,0,0,0
Common wheat,3,0,0,0,14,0,2,2,1,0,0,0
Fat Hen,0,0,0,1,0,45,0,1,1,0,0,0
Loose Silky-bent,5,0,0,0,0,1,59,0,0,0,0,0
Maize,0,1,0,0,0,0,0,21,0,0,0,0
Scentless Mayweed,0,0,0,1,0,0,0,0,51,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,4,19,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,1,0,0,0,0,0,37
