class,precision,recall,f1-score,support
Black-grass,0.75,0.6923076923076923,0.7199999999999999,26.0
Charlock,0.975,1.0,0.9873417721518987,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,1.0,0.8636363636363636,0.9268292682926829,22.0
Fat Hen,0.9777777777777777,0.9166666666666666,0.946236559139785,48.0
Loose Silky-bent,0.8676470588235294,0.9076923076923077,0.887218045112782,65.0
Maize,0.84,0.9545454545454546,0.8936170212765958,22.0
Scentless Mayweed,0.9622641509433962,0.9807692307692307,0.9714285714285713,52.0
Shepherds Purse,1.0,0.9565217391304348,0.9777777777777777,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9452631578947368,0.9452631578947368,0.9452631578947368,0.9452631578947368
macro avg,0.9421912954101459,0.9363121676770999,0.9381927947345923,475.0
weighted avg,0.9462592168545672,0.9452631578947368,0.9450282955352711,475.0
